imdb_title_id,title,director
tt0000009,Miss Jerry,Alexander Black
tt0000574,The Story of the Kelly Gang,Charles Tait
tt0001892,Den sorte drøm,Urban Gad
tt0002101,Cleopatra,Charles L. Gaskill
tt0002130,L'Inferno,"""Francesco Bertolini, Adolfo Padovan"""
tt0002199,"""From the Manger to the Cross; or, Jesus of Nazareth""",Sidney Olcott
tt0002423,Madame DuBarry,Ernst Lubitsch
tt0002445,Quo Vadis?,Enrico Guazzoni
tt0002452,Independenta Romaniei,"""Aristide Demetriade, Grigore Brezeanu"""
tt0002461,Richard III,"""André Calmettes, James Keane"""
tt0002646,Atlantis,August Blom
tt0002844,Fantômas - À l'ombre de la guillotine,Louis Feuillade
tt0003014,Il calvario di una madre,Victor Sjöström
tt0003037,Juve contre Fantômas,Louis Feuillade
tt0003102,Ma l'amor mio non muore...,Mario Caserini
tt0003131,Maudite soit la guerre,Alfred Machin
tt0003165,Le mort qui tue,Louis Feuillade
tt0003167,Amore di madre,D.W. Griffith
tt0003419,Lo studente di Praga,"""Paul Wegener, Stellan Rye"""
tt0003471,Traffic in Souls,George Loane Tucker
tt0003489,Gli ultimi giorni di Pompei,"""Mario Caserini, Eleuterio Rodolfi"""
tt0003637,Assunta Spina,"""Francesca Bertini, Gustavo Serena"""
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',D.W. Griffith
tt0003657,The Bargain,Reginald Barker
tt0003740,Cabiria,Giovanni Pastrone
tt0003772,Cinderella,James Kirkwood
tt0003883,L'enfant de Paris,Léonce Perret
tt0003930,Fantômas contre Fantômas,Louis Feuillade
tt0003973,A Florida Enchantment,Sidney Drew
tt0004026,Der Golem,"""Henrik Galeen, Paul Wegener"""
tt0004066,Det hemmelighedsfulde X,Benjamin Christensen
tt0004099,"""His Majesty, the Scarecrow of Oz""",J. Farrell MacDonald
tt0004134,Hypocrites,Lois Weber
tt0004150,In the Land of the Head Hunters,Edward S. Curtis
tt0004181,Judith of Bethulia,D.W. Griffith
tt0004457,The Patchwork Girl of Oz,J. Farrell MacDonald
tt0004465,The Perils of Pauline,"""Louis J. Gasnier, Donald MacKenzie"""
tt0004635,The Squaw Man,"""Oscar Apfel, Cecil B. DeMille"""
tt0004681,La madonnina del porto,Edwin S. Porter
tt0004707,Tillie's Punctured Romance,"""Mack Sennett, Charles Bennett"""
tt0004712,A tolonc,Michael Curtiz
tt0004743,Uncle Tom's Cabin,William Robert Daly
tt0004766,The Virginian,Cecil B. DeMille
tt0004825,The Wishing Ring: An Idyll of Old England,Maurice Tourneur
tt0004838,The Wrath of the Gods,Reginald Barker
tt0004872,Alias Jimmy Valentine,Maurice Tourneur
tt0004873,Alice in Wonderland,W.W. Young
tt0004972,Nascita di una nazione,D.W. Griffith
tt0005060,Carmen,Cecil B. DeMille
tt0005078,The Cheat,Cecil B. DeMille
tt0005149,The Coward,"""Reginald Barker, Thomas H. Ince"""
tt0005339,La vampira,Frank Powell
tt0005402,The Golden Chance,Cecil B. DeMille
tt0005529,Hævnens Nat,Benjamin Christensen
tt0005557,The Italian,Reginald Barker
tt0005680,Maciste,"""Luigi Romano Borgnetto, Vincenzo Denizot"""
tt0005719,Martyrs of the Alamo,Christy Cabanne
tt0005809,The Nigger,Edgar Lewis
